name,languages,colorDepth,deviceMemory,screenResolution,hardwareConcurrency,timezoneOffset,sessionStorage,localStorage,indexedDB,openDatabase,platform,touchSupport,fonts,pluginsSupport,chrome,cookiesEnabled
Anatolii,ru,24,1,"[1280,800]",12,240,true,true,false,false,Linux,false,"[""Georgia""]",false,false,true
Anatolii,ru,24,1,"[1280,800]",12,240,true,true,false,false,Linux,false,"[""Georgia""]",false,false,true
Hilbert,ru,12,64,"[1920,1440]",16,180,false,true,true,true,Win32,true,"[""Georgia""]",false,true,false
Anatolii,ru,24,1,"[1280,800]",12,240,true,true,false,false,Linux,false,"[""Georgia""]",false,false,true
Hilbert,ru,12,64,"[1920,1440]",16,180,false,true,true,true,Win32,true,"[""Georgia""]",false,true,false
Andrei,en,8,4,"[1280,960]",16,600,true,true,false,true,Win64,false,"[""Museo""]",true,true,false
Hilbert,ru,12,64,"[1920,1440]",16,180,false,true,true,true,Win32,true,"[""Georgia""]",false,true,false
Filipp,ru,8,2,"[2560,1440]",2,720,false,false,true,true,Win32,true,"[""Roboto""]",true,true,false
Andrei,en,8,4,"[1280,960]",16,600,true,true,false,true,Win64,false,"[""Museo""]",true,true,false
Andrei,en,8,4,"[1280,960]",16,600,true,true,false,true,Win64,false,"[""Museo""]",true,true,false
Filipp,ru,8,2,"[2560,1440]",2,720,false,false,true,true,Win32,true,"[""Roboto""]",true,true,false
Filipp,ru,8,2,"[2560,1440]",2,720,false,false,true,true,Win32,true,"[""Roboto""]",true,true,false
Maksim,ru,12,32,"[1280,960]",12,180,false,true,false,true,Mac,true,"[""Georgia""]",true,false,true
Maksim,ru,12,32,"[1280,960]",12,180,false,true,false,true,Mac,true,"[""Georgia""]",true,false,true
Maksim,ru,12,32,"[1280,960]",12,180,false,true,false,true,Mac,true,"[""Georgia""]",true,false,true
Stas,en,12,16,"[1440,900]",2,300,false,true,false,true,Win64,true,"[""Georgia""]",true,true,true
Stas,en,12,16,"[1440,900]",2,300,false,true,false,true,Win64,true,"[""Georgia""]",true,true,true
Stas,en,12,16,"[1440,900]",2,300,false,true,false,true,Win64,true,"[""Georgia""]",true,true,true
Conrad,ru,8,4,"[1024,576]",8,480,true,true,false,true,Linux,true,"[""Verdana""]",false,false,true
Conrad,ru,8,4,"[1024,576]",8,480,true,true,false,true,Linux,true,"[""Verdana""]",false,false,true
Conrad,ru,8,4,"[1024,576]",8,480,true,true,false,true,Linux,true,"[""Verdana""]",false,false,true
Hans,ru,24,16,"[1152,648]",2,420,false,false,false,false,Linux,true,"[""Arial""]",false,false,false
Hans,ru,24,16,"[1152,648]",2,420,false,false,false,false,Linux,true,"[""Arial""]",false,false,false
Hans,ru,24,16,"[1152,648]",2,420,false,false,false,false,Linux,true,"[""Arial""]",false,false,false
Barthold,en,12,2,"[1152,648]",2,120,true,true,false,false,Linux,false,"[""Roboto""]",true,false,false
Barthold,en,12,2,"[1152,648]",2,120,true,true,false,false,Linux,false,"[""Roboto""]",true,false,false
Barthold,en,12,2,"[1152,648]",2,120,true,true,false,false,Linux,false,"[""Roboto""]",true,false,false
Ulbrecht,en,8,4,"[1366,768]",12,240,true,false,true,false,Mac,false,"[""Georgia""]",true,false,true
Ulbrecht,en,8,4,"[1366,768]",12,240,true,false,true,false,Mac,false,"[""Georgia""]",true,false,true
Ulbrecht,en,8,4,"[1366,768]",12,240,true,false,true,false,Mac,false,"[""Georgia""]",true,false,true
Nikolaus,en,12,64,"[1400,1080]",1,420,false,true,true,true,Win32,false,"[""Gotham""]",true,true,false
Nikolaus,en,12,64,"[1400,1080]",1,420,false,true,true,true,Win32,false,"[""Gotham""]",true,true,false
Nikolaus,en,12,64,"[1400,1080]",1,420,false,true,true,true,Win32,false,"[""Gotham""]",true,true,false
Dmitriy,en,24,32,"[1900,1200]",1,480,false,true,false,true,Linux,true,"[""Museo""]",true,false,false
Dmitriy,en,24,32,"[1900,1200]",1,480,false,true,false,true,Linux,true,"[""Museo""]",true,false,false
Dmitriy,en,24,32,"[1900,1200]",1,480,false,true,false,true,Linux,true,"[""Museo""]",true,false,false
Albrecht,ru,8,1,"[1600,1200]",8,120,true,true,true,false,Linux,false,"[""Helvetica""]",true,false,false
Albrecht,ru,8,1,"[1600,1200]",8,120,true,true,true,false,Linux,false,"[""Helvetica""]",true,false,false
Albrecht,ru,8,1,"[1600,1200]",8,120,true,true,true,false,Linux,false,"[""Helvetica""]",true,false,false
Yulian,ru,24,16,"[1900,1200]",12,360,false,false,true,true,Win64,false,"[""Futura""]",true,false,false
Yulian,ru,24,16,"[1900,1200]",12,360,false,false,true,true,Win64,false,"[""Futura""]",true,false,false
Yulian,ru,24,16,"[1900,1200]",12,360,false,false,true,true,Win64,false,"[""Futura""]",true,false,false
Gleb,en,8,16,"[1024,768]",8,600,true,true,true,false,Win64,true,"[""Verdana""]",true,false,true
Gleb,en,8,16,"[1024,768]",8,600,true,true,true,false,Win64,true,"[""Verdana""]",true,false,true
Gleb,en,8,16,"[1024,768]",8,600,true,true,true,false,Win64,true,"[""Verdana""]",true,false,true
Stefan,en,12,2,"[1280,800]",1,480,false,false,false,false,Mac,false,"[""Georgia""]",true,false,true
Stefan,en,12,2,"[1280,800]",1,480,false,false,false,false,Mac,false,"[""Georgia""]",true,false,true
Stefan,en,12,2,"[1280,800]",1,480,false,false,false,false,Mac,false,"[""Georgia""]",true,false,true
Maksimilian,ru,8,32,"[1024,768]",8,480,true,false,true,false,Linux,true,"[""Arial""]",false,true,true
Maksimilian,ru,8,32,"[1024,768]",8,480,true,false,true,false,Linux,true,"[""Arial""]",false,true,true
Maksimilian,ru,8,32,"[1024,768]",8,480,true,false,true,false,Linux,true,"[""Arial""]",false,true,true
Petr,ru,24,8,"[1280,720]",16,420,true,false,false,true,Mac,false,"[""Roboto""]",true,false,true
Petr,ru,24,8,"[1280,720]",16,420,true,false,false,true,Mac,false,"[""Roboto""]",true,false,true
Petr,ru,24,8,"[1280,720]",16,420,true,false,false,true,Mac,false,"[""Roboto""]",true,false,true
Daniil,en,24,64,"[1280,800]",16,660,true,false,true,false,Linux,false,"[""Museo""]",false,true,false
Daniil,en,24,64,"[1280,800]",16,660,true,false,true,false,Linux,false,"[""Museo""]",false,true,false
Daniil,en,24,64,"[1280,800]",16,660,true,false,true,false,Linux,false,"[""Museo""]",false,true,false
Gedeon,ru,12,32,"[960,720]",8,180,false,false,true,true,Mac,true,"[""Verdana""]",false,true,true
Gedeon,ru,12,32,"[960,720]",8,180,false,false,true,true,Mac,true,"[""Verdana""]",false,true,true
Gedeon,ru,12,32,"[960,720]",8,180,false,false,true,true,Mac,true,"[""Verdana""]",false,true,true
Konstantin,en,8,16,"[960,720]",4,720,false,true,true,false,Win32,false,"[""MS Gothic""]",true,true,true
Konstantin,en,8,16,"[960,720]",4,720,false,true,true,false,Win32,false,"[""MS Gothic""]",true,true,true
Konstantin,en,8,16,"[960,720]",4,720,false,true,true,false,Win32,false,"[""MS Gothic""]",true,true,true
Theodore,ru,12,32,"[1920,1080]",2,480,true,false,false,true,Win64,false,"[""Verdana""]",true,false,false
Theodore,ru,12,32,"[1920,1080]",2,480,true,false,false,true,Win64,false,"[""Verdana""]",true,false,false
Theodore,ru,12,32,"[1920,1080]",2,480,true,false,false,true,Win64,false,"[""Verdana""]",true,false,false
Evgeniy,en,8,64,"[1680,1050]",8,180,false,false,false,true,Win32,false,"[""MS Gothic""]",true,false,false
Evgeniy,en,8,64,"[1680,1050]",8,180,false,false,false,true,Win32,false,"[""MS Gothic""]",true,false,false
Evgeniy,en,8,64,"[1680,1050]",8,180,false,false,false,true,Win32,false,"[""MS Gothic""]",true,false,false
Alexandr,en,12,32,"[1280,800]",16,120,true,true,false,true,Mac,true,"[""Comic Sans""]",true,true,true
Alexandr,en,12,32,"[1280,800]",16,120,true,true,false,true,Mac,true,"[""Comic Sans""]",true,true,true
Alexandr,en,12,32,"[1280,800]",16,120,true,true,false,true,Mac,true,"[""Comic Sans""]",true,true,true
Fedor,ru,12,2,"[1920,1440]",4,600,true,true,true,false,Win64,true,"[""Centaur""]",false,true,true
Fedor,ru,12,2,"[1920,1440]",4,600,true,true,true,false,Win64,true,"[""Centaur""]",false,true,true
Fedor,ru,12,2,"[1920,1440]",4,600,true,true,true,false,Win64,true,"[""Centaur""]",false,true,true
Roman,ru,24,1,"[1920,1440]",4,420,true,true,true,false,Mac,false,"[""Pluto Sans""]",true,true,false
Roman,ru,24,1,"[1920,1440]",4,420,true,true,true,false,Mac,false,"[""Pluto Sans""]",true,true,false
Roman,ru,24,1,"[1920,1440]",4,420,true,true,true,false,Mac,false,"[""Pluto Sans""]",true,true,false
Friederic,ru,24,4,"[1600,900]",12,660,true,true,false,false,Mac,false,"[""MS Gothic""]",false,true,true
Friederic,ru,24,4,"[1600,900]",12,660,true,true,false,false,Mac,false,"[""MS Gothic""]",false,true,true
Friederic,ru,24,4,"[1600,900]",12,660,true,true,false,false,Mac,false,"[""MS Gothic""]",false,true,true
